learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
a2f3443f-139b-4b79-a610-fbfbbf8f4967,2017-05-04 06:46:59 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,RO
b93bf773-93b1-46ab-9edf-cd39b574acd6,2017-01-30 18:32:36 UTC,2017-05-19 12:34:36 UTC,learner,,,male,BE,>65,university_degree,retired,it_and_information_services,BE
5ab129ad-7bb9-4d9c-b323-b11b13771994,2017-05-03 23:44:29 UTC,2017-05-04 03:46:05 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
85b0f09e-b95a-4f4f-9108-8a2894ea2663,2017-04-03 19:55:41 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PK
01107d82-306e-4555-baaa-c9f4cb09d0b2,2017-02-14 01:11:28 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
cf8e66e6-cadd-49cf-aee5-fdf4d8afbf44,2017-01-30 13:09:31 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FR
b42d70cc-5f4d-4fc5-aeea-efd0804e6ff1,2017-03-23 10:15:31 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NZ
dc18379e-cccd-413a-aee3-5b5a21f638be,2017-05-02 05:23:42 UTC,,learner,,,female,AU,26-35,university_degree,working_full_time,business_consulting_and_management,AU
3fbaaa82-cf8f-4b0f-aea6-c3936c1595ad,2017-04-23 14:55:50 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
00a937ac-3aa8-414c-83e0-dd1381af581e,2017-05-03 04:18:43 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PH
e88cd712-95f0-4125-8608-39c7d871890b,2017-05-03 03:02:25 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
c3490e3b-4d64-4537-b9d1-267cf75dfec3,2017-04-23 00:34:16 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
e7070d00-7037-4f4b-86e8-a178b004b515,2017-02-06 23:29:56 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
7f880c8f-c83b-4277-a8f1-e4d77dfdf245,2017-05-02 05:59:08 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
c7b2ac25-d4bc-480e-8c2c-c20d25354800,2017-05-03 02:17:30 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CA
72b8dde5-2bb8-40df-8190-f5942ffd5cf8,2017-05-03 09:01:48 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
913ba3cc-213f-4c48-8ae6-f7913574b505,2017-04-28 19:45:23 UTC,,learner,,,female,GB,18-25,secondary,full_time_student,Unknown,GB
827c8a1d-c7a9-44e2-b9b6-ba76e8984e51,2017-05-03 13:16:35 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IE
c2aab57f-ef17-40ee-ba9d-7e7c2cae2168,2017-05-03 21:16:49 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
9695eecc-3428-4f0f-a0c3-8f56488fe5f4,2017-03-30 18:26:35 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,DE
9b05312a-59ec-432e-aaed-4930e2819908,2017-04-12 09:53:07 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,DK
9090cbb2-ae6e-4687-b5b4-b01c133b6582,2017-05-01 04:08:21 UTC,,learner,,,male,KW,46-55,university_degree,working_full_time,engineering_and_manufacturing,KW
76189228-2828-4d62-ad3d-1410b4aebc6d,2017-05-03 08:38:02 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
daae78ea-300e-4aba-bb15-6a68fd1a0eb2,2017-05-03 17:02:25 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SA
b35e3e29-d152-4f61-9f58-199315b9039f,2017-05-02 14:00:50 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
f6a034f8-d15c-4c86-b1e6-406fab8f9f54,2017-05-02 10:37:47 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
